period,grade,auc,n_loans,default_rate
2016-11-01,F,0.4856,87,0.4598
2016-11-01,G,0.5182,94,0.4362
2016-12-01,A,0.6077,173,0.052
2016-12-01,B,0.6077,164,0.0976
2016-12-01,C,0.5299,171,0.1462
2016-12-01,D,0.5278,164,0.2439
2016-12-01,E,0.4639,178,0.264
2016-12-01,F,0.5288,195,0.4
2016-12-01,G,0.4284,179,0.4525
2017-01-01,A,0.4867,120,0.0583
2017-01-01,B,0.5572,115,0.0696
2017-01-01,C,0.5559,119,0.1429
2017-01-01,D,0.513,127,0.2677
2017-01-01,E,0.5265,131,0.2824
2017-01-01,F,0.5428,119,0.4034
2017-01-01,G,0.5518,128,0.3516
2017-02-01,A,0.378,115,0.0261
2017-02-01,B,0.5867,115,0.087
2017-02-01,C,0.4404,128,0.1719
2017-02-01,D,0.5505,112,0.1339
2017-02-01,E,0.5649,111,0.3063
2017-02-01,F,0.4814,111,0.2973
2017-02-01,G,0.6129,104,0.3846
2017-03-01,A,0.2812,165,0.0303
2017-03-01,B,0.4963,170,0.0941
2017-03-01,C,0.5077,153,0.0588
2017-03-01,D,0.4726,161,0.2733
2017-03-01,E,0.6122,158,0.2278
2017-03-01,F,0.5393,170,0.4118
2017-03-01,G,0.5201,168,0.4226
2017-04-01,A,0.6845,59,0.0508
2017-04-01,B,0.5931,63,0.0794
2017-04-01,C,0.6629,80,0.125
2017-04-01,D,0.5778,69,0.2319
2017-04-01,E,0.4465,79,0.2405
2017-04-01,F,0.6186,78,0.3718
2017-04-01,G,0.4126,44,0.5682
2017-05-01,A,0.6812,95,0.0316
2017-05-01,B,0.682,93,0.0645
2017-05-01,C,0.6321,88,0.0682
2017-05-01,D,0.493,93,0.2366
2017-05-01,E,0.4825,86,0.2791
2017-05-01,F,0.629,76,0.3158
2017-05-01,G,0.5544,78,0.2821
2017-06-01,A,0.534,246,0.0244
2017-06-01,B,0.4721,244,0.082
2017-06-01,C,0.4732,232,0.0948
2017-06-01,D,0.503,238,0.2185
2017-06-01,E,0.5242,235,0.2894
2017-06-01,F,0.5481,246,0.2927
2017-06-01,G,0.526,221,0.3032
2017-07-01,A,0.5801,157,0.0191
2017-07-01,B,0.4904,142,0.0845
2017-07-01,C,0.4907,149,0.1544
2017-07-01,D,0.5711,157,0.1529
2017-07-01,E,0.5492,138,0.2101
2017-07-01,F,0.5462,141,0.3617
2017-07-01,G,0.4361,134,0.4179
2017-08-01,A,0.8297,142,0.0423
2017-08-01,B,0.3365,142,0.0493
2017-08-01,C,0.4598,126,0.1111
2017-08-01,D,0.4603,116,0.1897
2017-08-01,E,0.4783,122,0.2377
2017-08-01,F,0.4467,115,0.3304
2017-08-01,G,0.5669,89,0.2809
2017-09-01,A,0.7424,101,0.0198
2017-09-01,B,0.838,116,0.069
2017-09-01,C,0.5618,125,0.168
2017-09-01,D,0.5449,127,0.189
2017-09-01,E,0.4579,140,0.2
2017-09-01,F,0.4891,144,0.3056
